No,Code,Vector,Outcome
82,hp1168,LAC / A,2
83,hp1169,LAC / A,3
84,hp1170,LAC / A,x
85,hp1174,LAC / A,3
86,hp1175,LAC / A,x
87,hp1180,LAC / A,1
88,hp1181,LAC / A,3
89,hp1183,LAC / A,0
90,hp1184,LAC / A,x
91,hp1185,LAC / A,x
92,hp1206,LAC / A,2
93,hp1234,LAC / A,3
94,hp1251,LAC / A,3
95,hp1255,LAC / A,3
96,hp1258,LAC / A,3
97,hp1300,LAC / A,0
98,hp1329,LAC / A,0
99,hp1339,LAC / A,3
100,hp1343,LAC / A,3
101,hp1344,LAC / A,3
102,hp1360,LAC / A,x
103,hp1361,LAC / A,0
104,hp1419,LAC / A,0
105,hp1445,LAC / A,3
106,hp1450,LAC / A,x
107,hp1466,LAC / A,0
108,hp1484,LAC / A,2
109,hp1486,LAC / A,1
110,hp1491,LAC / A,x
111,hp1503,LAC / A,2
112,hp1506,LAC / A,1
113,hp1508,LAC / A,0
114,hp1509,LAC / A,0
115,hp1539,LAC / A,2
116,hp1548,LAC / A,1
117,hp1552,LAC / A,0
118,hp1560,LAC / A,0
119,hp1577,LAC / A,3
120,hp1581,LAC / A,2
1,hp0471,pET,x
2,hp0743,pET,2
3,hp0055,pET,x
4,hp0071,pET,x
5,hp0074,pET,x
6,hp0133,pET,1
7,hp0140,pET,x
8,hp0141,pET,1
9,hp0173,pET,x
10,hp0180,pET,x
11,hp0189,pET,x
12,hp0214,pET,2
13,hp0215,pET,x
14,hp0226,pET,x
15,hp0228,pET,x
16,hp0251,pET,x
17,hp0258,pET,x
18,hp0265,pET,x
19,hp0284,pET,x
20,hp0286,pET,x
21,hp0288,pET,x
22,hp0299,pET,x
23,hp0300,pET,x
24,hp0307,pET,x
25,hp0342,pET,x
26,hp0362,pET,x
27,hp0375,pET,x
28,hp0378,pET,x
29,hp0382,pET,x
30,hp0415,pET,x
31,hp0474,pET,0
32,hp0490,pET,2
33,hp0493,pET,1
34,hp0497,pET,1
35,hp0498,pET,2
36,hp0565,pET,x
37,hp0571,pET,x
38,hp0600,pET,x
39,hp0607,pET,x
40,hp0622,pET,x
41,hp0633,pET,x
42,hp0644,pET,x
43,hp0684,pET,x
44,hp0685,pET,x
45,hp0687,pET,x
46,hp0693,pET,x
47,hp0700,pET,x
48,hp0724,pET,1
49,hp0737,pET,x
50,hp0740,pET,1
51,hp0749,pET,x
52,hp0758,pET,x
53,hp0787,pET,x
54,hp0791,pET,1
55,hp0818,pET,x
56,hp0851,pET,x
57,hp0855,pET,0
58,hp0861,pET,x
59,hp0889,pET,x
60,hp0920,pET,x
61,hp0927,pET,2
62,hp0936,pET,x
63,hp0939,pET,x
64,hp0942,pET,2
65,hp0955,pET,x
66,hp0969,pET,x
67,hp0983,pET,x
68,hp1016,pET,x
69,hp1017,pET,1
70,hp1041,pET,x
71,hp1044,pET,x
72,hp1061,pET,x
73,hp1069,pET,x
74,hp1071,pET,3
75,hp1072,pET,2
76,hp1077,pET,2
77,hp1082,pET,x
