Protein,E. coli strain,Vector,Measurement,Outcome
MJ1319,C43(DE3),pET52b(+),Induction OD,0.716
MJ1319,C43(DE3),pWarf(-),Induction OD,0.612
Mevan1511,C43(DE3),pTTQ18,Induction OD,0.47
Mevan1511,C43(DE3),pET52b(+),Induction OD,0.49
Mevan1511,C43(DE3),pWarf(-),Induction OD,0.505
MMP0681,C43(DE3),pTTQ18,Induction OD,0.505
MMP0681,C43(DE3),pET52b(+),Induction OD,0.52
MMP0681,C43(DE3),pWarf(-),Induction OD,0.645
Hbor39700,C43(DE3),pTTQ18,Induction OD,0.6
Hbor39700,C43(DE3),pET52b(+),Induction OD,0.795
Hbor39700,C43(DE3),pWarf(-),Induction OD,0.48
AF2014,C43(DE3),pTTQ18,Induction OD,0.605
AF2014,C43(DE3),pET52b(+),Induction OD,0.605
AF2014,C43(DE3),pWarf(-),Induction OD,0.62
Ta0252,C43(DE3),pTTQ18,Induction OD,n.c.
Ta0252,C43(DE3),pET52b(+),Induction OD,0.588
Ta0252,C43(DE3),pWarf(-),Induction OD,0.516
Msed1117,C43(DE3),pTTQ18,Induction OD,0.65
Msed1117,C43(DE3),pET52b(+),Induction OD,0.6
Msed1117,C43(DE3),pWarf(-),Induction OD,n.c.
pNG7043,C43(DE3),pTTQ18,Induction OD,0.5
pNG7043,C43(DE3),pET52b(+),Induction OD,n.c.
pNG7043,C43(DE3),pWarf(-),Induction OD,0.612
Saci1848,C43(DE3),pTTQ18,Induction OD,n.c.
Saci1848,C43(DE3),pET52b(+),Induction OD,n.c.
Saci1848,C43(DE3),pWarf(-),Induction OD,n.c.
SSO2938,C43(DE3),pTTQ18,Harvesting OD,1.648
SSO2938,C43(DE3),pET52b(+),Harvesting OD,2.125
SSO2938,C43(DE3),pWarf(-),Harvesting OD,1.764
SSO2528,C43(DE3),pTTQ18,Harvesting OD,0.59
SSO2528,C43(DE3),pET52b(+),Harvesting OD,2.09
SSO2528,C43(DE3),pWarf(-),Harvesting OD,1.3
SSO2042,C43(DE3),pTTQ18,Harvesting OD,1.215
SSO2042,C43(DE3),pET52b(+),Harvesting OD,1.82
SSO2042,C43(DE3),pWarf(-),Harvesting OD,2.135
SSO1665,C43(DE3),pTTQ18,Harvesting OD,1.012
SSO1665,C43(DE3),pET52b(+),Harvesting OD,1.988
SSO1665,C43(DE3),pWarf(-),Harvesting OD,1.932
Saci2039,C43(DE3),pTTQ18,Harvesting OD,0.49
Saci2039,C43(DE3),pET52b(+),Harvesting OD,2.2
Saci2039,C43(DE3),pWarf(-),Harvesting OD,2.165
MA1518,C43(DE3),pTTQ18,Harvesting OD,1.696
MA1518,C43(DE3),pET52b(+),Harvesting OD,1.429
MA1518,C43(DE3),pWarf(-),Harvesting OD,2.128
MJ1319,C43(DE3),pTTQ18,Harvesting OD,0.8
MJ1319,C43(DE3),pET52b(+),Harvesting OD,1.992
MJ1319,C43(DE3),pWarf(-),Harvesting OD,1.742
Mevan1511,C43(DE3),pTTQ18,Harvesting OD,0.9
Mevan1511,C43(DE3),pET52b(+),Harvesting OD,1.155
Mevan1511,C43(DE3),pWarf(-),Harvesting OD,1.225
MMP0681,C43(DE3),pTTQ18,Harvesting OD,0.89
MMP0681,C43(DE3),pET52b(+),Harvesting OD,1.3
MMP0681,C43(DE3),pWarf(-),Harvesting OD,2.295
Hbor39700,C43(DE3),pTTQ18,Harvesting OD,2.05
Hbor39700,C43(DE3),pET52b(+),Harvesting OD,2.415
Hbor39700,C43(DE3),pWarf(-),Harvesting OD,1.27
AF2014,C43(DE3),pTTQ18,Harvesting OD,2.335
AF2014,C43(DE3),pET52b(+),Harvesting OD,2.755
AF2014,C43(DE3),pWarf(-),Harvesting OD,2.24
Ta0252,C43(DE3),pTTQ18,Harvesting OD,n.c.
Ta0252,C43(DE3),pET52b(+),Harvesting OD,2.008
Ta0252,C43(DE3),pWarf(-),Harvesting OD,1.636
Msed1117,C43(DE3),pTTQ18,Harvesting OD,1.8
Msed1117,C43(DE3),pET52b(+),Harvesting OD,2.55
Msed1117,C43(DE3),pWarf(-),Harvesting OD,n.c.
pNG7043,C43(DE3),pTTQ18,Harvesting OD,1.788
pNG7043,C43(DE3),pET52b(+),Harvesting OD,n.c.
pNG7043,C43(DE3),pWarf(-),Harvesting OD,2.232
Saci1848,C43(DE3),pTTQ18,Harvesting OD,n.c.
Saci1848,C43(DE3),pET52b(+),Harvesting OD,n.c.
Saci1848,C43(DE3),pWarf(-),Harvesting OD,n.c.
SSO2938,C43(DE3),pTTQ18,dOD600,2.783783784
SSO2938,C43(DE3),pET52b(+),dOD600,4.885057471
SSO2938,C43(DE3),pWarf(-),dOD600,2.863636364
SSO2528,C43(DE3),pTTQ18,dOD600,1.311111111
SSO2528,C43(DE3),pET52b(+),dOD600,4.309278351
SSO2528,C43(DE3),pWarf(-),dOD600,3.095238095
SSO2042,C43(DE3),pTTQ18,dOD600,2.059322034
SSO2042,C43(DE3),pET52b(+),dOD600,2.736842105
SSO2042,C43(DE3),pWarf(-),dOD600,3.471544715
SSO1665,C43(DE3),pTTQ18,dOD600,1.93129771
SSO1665,C43(DE3),pET52b(+),dOD600,3.313333333
SSO1665,C43(DE3),pWarf(-),dOD600,3.377622378
Saci2039,C43(DE3),pTTQ18,dOD600,1.180722892
Saci2039,C43(DE3),pET52b(+),dOD600,4.835164835
Saci2039,C43(DE3),pWarf(-),dOD600,5.034883721
MA1518,C43(DE3),pTTQ18,dOD600,2.538922156
MA1518,C43(DE3),pET52b(+),dOD600,2.748076923
MA1518,C43(DE3),pWarf(-),dOD600,3.570469799
