Family,Source,organism,GI number,Vector,Outcome
14,DASS,S. typhimurium,16421915,pQE-A,0
15,DMT,S. typhimurium,16419338,pQE-A,10
16,DMT,S. typhimurium,16422334,pQE-A,0
17,ESS,S. typhimurium,16767031,pQE-A,0
18,GntP,S. typhimurium,16421462,pQE-A,10
19,GntP,S. typhimurium,16422071,pQE-A,0
20,GntP,S. typhimurium,16422100,pQE-A,10
21,GntP,S. typhimurium,16422374,pQE-A,0
22,GntP,S. typhimurium,16423047,pQE-A,0
23,MFS,A. aeolicus,15606460,pQE-A,0
24,MFS,P. furiosus,18976892,pQE-A,0
25,MFS,S. typhimurium,16764711,pQE-A,100
26,MIT,A. aeolicus,15606202,pQE-A,0
27,MIT,P. furiosus,18978408,pQE-A,10
28,NCS1,S. typhimurium,16419032,pQE-A,100
29,NCS1,S. typhimurium,16421891,pQE-A,0
30,NCS2,P. furiosus,18977224,pQE-A,0
31,NCS2,P. furiosus,18977612,pQE-A,0
32,NCS2,S. typhimurium,16419034,pQE-A,0
33,NCS2,S. typhimurium,16421039,pQE-A,100
34,NCS2,S. typhimurium,16422196,pQE-A,0
35,NSS,A. aeolicus,15607041,pQE-A,CF
36,Trk,A. aeolicus,15606659,pQE-A,10
37,Trk,S. typhimurium,16422552,pQE-A,CF
1,AEC,A. aeolicus,15606582,pQE-C,0
2,AEC,P. furiosus,33359482,pQE-C,10
3,AGCS,S. typhimurium,16418499,pQE-C,0
4,AGCS,P. furiosus,18976886,pQE-C,0
5,APC,S. typhimurium,16419208,pQE-C,0
6,APC,S. typhimurium,16419480,pQE-C,0
7,APC,S. typhimurium,16419996,pQE-C,0
8,APC,S. typhimurium,16420738,pQE-C,100
9,APC,S. typhimurium,16420900,pQE-C,0
10,DAACS,S. typhimurium,16421782,pQE-C,100
11,DAACS,A. aeolicus,15606533,pQE-C,0
12,DASS,A. aeolicus,15605634,pQE-C,0
13,DASS,S. typhimurium,16421721,pQE-C,0
14,DASS,S. typhimurium,16421915,pQE-C,0
15,DMT,S. typhimurium,16419338,pQE-C,100
16,DMT,S. typhimurium,16422334,pQE-C,10
17,ESS,S. typhimurium,16767031,pQE-C,0
18,GntP,S. typhimurium,16421462,pQE-C,10
19,GntP,S. typhimurium,16422071,pQE-C,10
20,GntP,S. typhimurium,16422100,pQE-C,10
21,GntP,S. typhimurium,16422374,pQE-C,10
22,GntP,S. typhimurium,16423047,pQE-C,10
23,MFS,A. aeolicus,15606460,pQE-C,100
24,MFS,P. furiosus,18976892,pQE-C,0
25,MFS,S. typhimurium,16764711,pQE-C,100
26,MIT,A. aeolicus,15606202,pQE-C,100
27,MIT,P. furiosus,18978408,pQE-C,10
28,NCS1,S. typhimurium,16419032,pQE-C,100
29,NCS1,S. typhimurium,16421891,pQE-C,0
30,NCS2,P. furiosus,18977224,pQE-C,0
31,NCS2,P. furiosus,18977612,pQE-C,100
32,NCS2,S. typhimurium,16419034,pQE-C,0
33,NCS2,S. typhimurium,16421039,pQE-C,0
34,NCS2,S. typhimurium,16422196,pQE-C,100
35,NSS,A. aeolicus,15607041,pQE-C,CF
36,Trk,A. aeolicus,15606659,pQE-C,0
37,Trk,S. typhimurium,16422552,pQE-C,0
1,AEC,A. aeolicus,15606582,pNZ-A,CF
2,AEC,P. furiosus,33359482,pNZ-A,CF
3,AGCS,S. typhimurium,16418499,pNZ-A,CF
4,AGCS,P. furiosus,18976886,pNZ-A,CF
5,APC,S. typhimurium,16419208,pNZ-A,10
6,APC,S. typhimurium,16419480,pNZ-A,0
7,APC,S. typhimurium,16419996,pNZ-A,0
8,APC,S. typhimurium,16420738,pNZ-A,100
9,APC,S. typhimurium,16420900,pNZ-A,0
10,DAACS,S. typhimurium,16421782,pNZ-A,10
11,DAACS,A. aeolicus,15606533,pNZ-A,0
12,DASS,A. aeolicus,15605634,pNZ-A,0
13,DASS,S. typhimurium,16421721,pNZ-A,0
14,DASS,S. typhimurium,16421915,pNZ-A,0
15,DMT,S. typhimurium,16419338,pNZ-A,100
16,DMT,S. typhimurium,16422334,pNZ-A,10
17,ESS,S. typhimurium,16767031,pNZ-A,0
18,GntP,S. typhimurium,16421462,pNZ-A,CF
19,GntP,S. typhimurium,16422071,pNZ-A,CF
20,GntP,S. typhimurium,16422100,pNZ-A,CF
21,GntP,S. typhimurium,16422374,pNZ-A,CF
22,GntP,S. typhimurium,16423047,pNZ-A,CF
23,MFS,A. aeolicus,15606460,pNZ-A,100
24,MFS,P. furiosus,18976892,pNZ-A,0
25,MFS,S. typhimurium,16764711,pNZ-A,100
26,MIT,A. aeolicus,15606202,pNZ-A,100
27,MIT,P. furiosus,18978408,pNZ-A,10
28,NCS1,S. typhimurium,16419032,pNZ-A,CF
29,NCS1,S. typhimurium,16421891,pNZ-A,CF
30,NCS2,P. furiosus,18977224,pNZ-A,CF
31,NCS2,P. furiosus,18977612,pNZ-A,CF
32,NCS2,S. typhimurium,16419034,pNZ-A,CF
33,NCS2,S. typhimurium,16421039,pNZ-A,CF
34,NCS2,S. typhimurium,16422196,pNZ-A,CF
35,NSS,A. aeolicus,15607041,pNZ-A,CF
36,Trk,A. aeolicus,15606659,pNZ-A,0
37,Trk,S. typhimurium,16422552,pNZ-A,10
1,AEC,A. aeolicus,15606582,pNZ-C,CF
2,AEC,P. furiosus,33359482,pNZ-C,0
3,AGCS,S. typhimurium,16418499,pNZ-C,0
4,AGCS,P. furiosus,18976886,pNZ-C,CF
5,APC,S. typhimurium,16419208,pNZ-C,0
6,APC,S. typhimurium,16419480,pNZ-C,0
7,APC,S. typhimurium,16419996,pNZ-C,0
8,APC,S. typhimurium,16420738,pNZ-C,100
9,APC,S. typhimurium,16420900,pNZ-C,0
10,DAACS,S. typhimurium,16421782,pNZ-C,100
11,DAACS,A. aeolicus,15606533,pNZ-C,0
12,DASS,A. aeolicus,15605634,pNZ-C,0
13,DASS,S. typhimurium,16421721,pNZ-C,0
14,DASS,S. typhimurium,16421915,pNZ-C,CF
15,DMT,S. typhimurium,16419338,pNZ-C,NT
16,DMT,S. typhimurium,16422334,pNZ-C,NT
17,ESS,S. typhimurium,16767031,pNZ-C,0
18,GntP,S. typhimurium,16421462,pNZ-C,0
19,GntP,S. typhimurium,16422071,pNZ-C,CF
20,GntP,S. typhimurium,16422100,pNZ-C,CF
21,GntP,S. typhimurium,16422374,pNZ-C,CF
22,GntP,S. typhimurium,16423047,pNZ-C,CF
23,MFS,A. aeolicus,15606460,pNZ-C,100
24,MFS,P. furiosus,18976892,pNZ-C,CF
25,MFS,S. typhimurium,16764711,pNZ-C,100
26,MIT,A. aeolicus,15606202,pNZ-C,100
27,MIT,P. furiosus,18978408,pNZ-C,10
28,NCS1,S. typhimurium,16419032,pNZ-C,CF
29,NCS1,S. typhimurium,16421891,pNZ-C,CF
30,NCS2,P. furiosus,18977224,pNZ-C,CF
31,NCS2,P. furiosus,18977612,pNZ-C,0
32,NCS2,S. typhimurium,16419034,pNZ-C,CF
33,NCS2,S. typhimurium,16421039,pNZ-C,CF
34,NCS2,S. typhimurium,16422196,pNZ-C,CF
35,NSS,A. aeolicus,15607041,pNZ-C,0
36,Trk,A. aeolicus,15606659,pNZ-C,NT
37,Trk,S. typhimurium,16422552,pNZ-C,NT
